OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear,x,y
4126,12/31/2022 8:00:00 AM,002S100475,002,S1,00475,0.07,4500,,,,Southwest,S1 RAMP (SR 9 TO SR 2 WB)  AFTER MILEPOST 0.00: SR 9 INTERSECTION; BEGIN ROUTE,23f65183-97a8-4581-b870-ce668a2b4045,2022,-13592408.5949154,6099018.16921568
4127,12/31/2022 8:00:00 AM,005R110774,005,R1,10774,0.3,4600,,,,Southwest,R1 RAMP (SR 5 SB TO PACIFIC AVE)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE,e73e9830-c861-4b7b-94cd-3f7bb434eea0,2022,-13675904.7970605,5949046.99248819
4128,12/31/2022 8:00:00 AM,018S100584,018,S1,00584,0.1,5000,4.82,2.14,0.08,Southwest,"S1 RAMP (ABRN-BLK DIA TO SR 18 WB)  AFTER MILEPOST 0.00: AUBURN BLACK DIAMOND RD, LX00641 INTERSECTION; BEGIN ROUTE",f63b3936-75d1-41f2-b524-fd4cb0568fc5,2022,-13601398.7365477,5991058.82946466
4129,12/31/2022 8:00:00 AM,005P118344,005,P1,18344,0.36,16000,,,,Northeast,P1 RAMP (SR 5 NB TO 164TH ST SW)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE,9b3f4ba2-cae7-46d6-8abd-c00a7a9b5eb6,2022,-13609547.3749585,6081655.96714607
4130,12/31/2022 8:00:00 AM,005Q121079,005,Q1,21079,0.12,2800,3.48,1.3,0.21,Northwest,Q1 RAMP (236TH ST NE TO SR 5 NB)  AFTER MILEPOST 0.03: 236TH ST NE WYE CONNECTION,3ddbcdc9-5783-4e55-b609-5b6958427326,2022,-13605003.7155437,6142090.95040114
4131,12/31/2022 8:00:00 AM,014S100975,014,S1,00975,0.07,10000,,,,West,"S1 RAMP (SE 192ND AVE TO SR 14 WB)  AFTER MILEPOST 0.00: LX01009, SE 192ND AVE INTERSECTION; BEGIN ROUTE",c76f2247-ecbe-4d13-9b0b-d9e5f8cf989e,2022,-13633850.9211858,5714151.85786646
4132,12/31/2022 8:00:00 AM,003Q104733,003,Q1,04733,0.09,1200,4.07,0.65,0,North,Q1 RAMP (TRIGGER AVE TO SR 3 NB)  AFTER MILEPOST 0.00: LX04689-TRIGGER AVE INTERSECTION; BEGIN ROUTE,51192840-c45a-4dc9-8c45-581825390a7a,2022,-13657791.7927297,6053727.29338201
4133,12/31/2022 8:00:00 AM,005S117414,005,S1,17414,0.31,12000,,,,South,S1 RAMP (SR 523 TO SR 5 SB)  AFTER MILEPOST 0.28: R117471 ON RAMP,efb9e8b8-22f6-46a5-8fb2-a3781e2487ec,2022,-13617108.811183,6062011.00393839
4134,12/31/2022 8:00:00 AM,005R122136,005,R1,22136,0.22,5600,4.27,1.67,0.23,South,R1 RAMP (SR 5 SB TO PIONEER HWY)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE,ba1ffc81-9ebd-45e9-ba59-e7119e04ca32,2022,-13618456.7992874,6163952.20250112
4135,12/31/2022 8:00:00 AM,005S217717,005,S2,17717,0.04,6200,,,,East,S2 RAMP (SR 104 EB TO S117717)  AFTER MILEPOST 0.00: SR 104 EB INTERSECTION; BEGIN ROUTE,de30d05e-bef5-432b-be7e-4529adc6d2e1,2022,-13616674.9596929,6069927.85791894
4136,12/31/2022 8:00:00 AM,002S101437,002,S1,01437,0.04,3100,,,,Northeast,S1 RAMP (SR 522 TO SR 2)  AFTER MILEPOST 0.00: INCREASING MISCELLANEOUS FEATURE SR 2 OXING NPS-SR 522; BEGIN ROUTE,4b80e3ed-ee5b-4a73-9bdf-608af5334228,2022,-13579010.8180453,6084162.50855157
4137,12/31/2022 8:00:00 AM,005Q514431,005,Q5,14431,0.13,9200,,,,North,Q5 RAMP (S 32OTH ST TO SR 5 NB)  AFTER MILEPOST 0.00: LX14383-S 320TH ST INTERSECTION; BEGIN ROUTE,70aa64ac-20e3-4865-ad9d-795fc86fdc77,2022,-13614050.1449619,5993595.07381553
4138,12/31/2022 8:00:00 AM,016S101539,016,S1,01539,0.1,13000,3.41,0.79,0.04,South,S1 RAMP (SR 302 TO SR 16 EB)  AFTER MILEPOST 0.00: SR 302 WB INTERSECTION; BEGIN ROUTE,fc74975b-6415-4f62-a655-415870c18e18,2022,-13650007.1967375,6002902.4690838
4139,12/31/2022 8:00:00 AM,005CI08167,005,CI,08167,0.02,5900,,,,North,COLLECTOR-DISTRIBUTOR  AFTER MILEPOST 0.00: SR 507 INTERSECTION; BEGIN ROUTE,7aad24b5-400f-43d5-9a80-a6cf8fdfad27,2022,-13689511.1112793,5895226.10982533
4140,12/31/2022 8:00:00 AM,003S104515,003,S1,04515,0.28,9800,,,,West,S1 RAMP (SR 303 TO SR 3 SB)  AFTER MILEPOST 0.22: S204515 ON RAMP,0b46677b-1308-4bdc-ba80-a7888e3ce554,2022,-13658512.8521269,6050630.32225314
4141,12/31/2022 8:00:00 AM,082Q103178,082,Q1,03178,0.32,13000,4.15,3.71,2.85,Southeast,Q1 RAMP (N FIRST ST TO SR 82 EB)  AFTER MILEPOST 0.25: SR 12 EB INTERSECTION,548d6c85-aae2-4ca3-a1ee-7f766a87f507,2022,-13414633.0196124,5881122.70915383
4142,12/31/2022 8:00:00 AM,005P116901,005,P1,16901,0.14,20000,,,,North,P1 RAMP (SR 5 NB TO NE 45TH ST)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE,f5c6f112-0d9e-414e-8768-c2f9267d28a4,2022,-13616824.4149094,6050135.01866537
4143,12/31/2022 8:00:00 AM,014P100526,014,P1,00526,0.27,3000,2.52,0.33,0.03,Southeast,P1 RAMP (SR 14 EB TO SE ELLWRTH)  AFTER MILEPOST 0.00: SR 14 EB INTERSECTION; BEGIN ROUTE,452d83b0-1c77-4cb6-80a2-5e526a7439aa,2022,-13643620.6524948,5717357.70710342
4144,12/31/2022 8:00:00 AM,003S103691,003,S1,03691,0.1,4800,,,,Southeast,S1 RAMP (WERNER RD TO SR 3 SB)  AFTER MILEPOST 0.02: LX03731 WYE CONNECTION,793b51a1-5b8d-4e60-bd66-a04dc0adf4ab,2022,-13655820.2181952,6033450.22952666
4145,12/31/2022 8:00:00 AM,005S114892,005,S1,14892,0.06,9900,,,,Southeast,S1 RAMP (SR 516 TO SR 5 SB)  AFTER MILEPOST 0.00: SR 516 INTERSECTION; BEGIN ROUTE,b2a6c941-04d5-4a7d-8bb3-f652e56ac1df,2022,-13613476.6713496,6006182.97421029
4146,12/31/2022 8:00:00 AM,005P218205,005,P2,18205,0.58,16000,,,,Northwest,P2 RAMP (P118205 TO SR 525 WB)  AFTER MILEPOST 0.00: P118205 INTERSECTION; BEGIN ROUTE,fa4804d5-49ff-4f19-8e66-97801348bd7a,2022,-13610774.1139099,6079490.40209729
4147,12/31/2022 8:00:00 AM,005Q512746,005,Q5,12746,0.03,6600,,,,Southeast,Q5 RAMP (SR 512 EB TO CI12713)  AFTER MILEPOST 0.00: SR 512 EB INTERSECTION; BEGIN ROUTE,b2aaa9ea-43a8-4390-8434-c4844274a03d,2022,-13634268.3610782,5968666.9638
4148,12/31/2022 8:00:00 AM,016R100280,016,R1,00280,0.21,440,,,,South,R1 RAMP (SR 16 EB TO S 19TH ST)  AFTER MILEPOST 0.00: SR 16 EB INTERSECTION; BEGIN ROUTE,912855e3-329c-4e9e-a573-abdd21251319,2022,-13637293.79901,5981925.91126747
4149,12/31/2022 8:00:00 AM,005Q113804,005,Q1,13804,0.12,9700,,,,Northeast,Q1 RAMP (54TH AVE E TO SR 5 NB)  AFTER MILEPOST 0.00: LX13745-54TH AVE E INTERSECTION; BEGIN ROUTE,3790992f-963b-4d70-818e-11c2549e90af,2022,-13620461.7712446,5981365.26696304
4150,12/31/2022 8:00:00 AM,005S120990,005,S1,20990,0.1,4600,3.59,1.44,0.17,Southeast,S1 RAMP (236TH ST NE TO SR 5 SB)  AFTER MILEPOST 0.02: 236TH ST NE WYE CONNECTION,ffc5813e-c8ad-4cc0-a24e-4a536c2200be,2022,-13605049.5921694,6141651.56439842
4151,12/31/2022 8:00:00 AM,005R117471,005,R1,17471,0.15,100,,,,South,R1 RAMP (SR 5 SB TO S117414)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE,255163eb-95f4-4527-b86c-bf6fa534316f,2022,-13617175.6375368,6062665.38445363
4152,12/31/2022 8:00:00 AM,082P103753,082,P1,03753,0.35,8000,3.24,5.52,1.87,Southwest,P1 RAMP (SR 82 EB TO SR 97 SB)  AFTER MILEPOST 0.00: SR 82 EB INTERSECTION; BEGIN ROUTE,62355eb1-c3d2-41f9-a6b7-a295cdc38186,2022,-13410934.4882546,5867388.26461913
